Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1924,-45,-36.3,-22.9,-8.1,4.4,15,16.1,16.4,7.8,-9.9,-20,-31.4,-9.5
1925,-33.9,-41.2,-24.5,-8.2,6,13.8,19.6,14.8,6.4,-6.2,-24.8,-36.6,-9.6
1926,-39.8,-36.4,-19,-8.3,5.8,11.5,19.5,16.4,8,-8.6,-25.7,-37,-9.5
1927,-45.7,-40.9,-23.5,-6.1,6.4,15.8,17.2,13.4,8.2,-4.3,-20.9,-38.6,-9.9
1928,-43.3,-36.3,-20.9,-5.7,5.2,16,18.1,16.3,4.9,-6.5,-26.3,-36.6,-9.6
1929,-47.7,-37.2,-22.2,-8.9,7.5,16.1,18.6,16.9,4.3,-9,-33.7,-43.4,-11.6
1930,-40.2,-36.4,-14.6,-7.8,4.4,16.9,19.4,15.4,7,-8.6,-25.7,-38.4,-9.1
1931,-51.1,-44.6,-21.6,-11,7.7,17.1,19,13.7,8.6,-5.6,-25.8,-34.3,-10.7
1932,-34.9,-34.4,-20.8,-7.9,5.1,17.2,20.9,15.3,8.1,-8.4,-30.9,-39.6,-9.2
1933,-40.6,-39,-27.5,-9.4,3.7,17.5,17.6,16.7,6.6,-4.3,-22.4,-40.7,-10.2
1934,-39.1,-27.6,-22,-9.7,8.2,17.7,21,14.8,5.5,-8,-26.5,-37.6,-8.6
1935,-42.4,-32.7,-27.1,-6.3,6.6,16,21.7,15.1,6.2,-8.6,-32.1,-39.1,-10.2
1936,-46,-36.2,-23,-4.5,9.7,14.1,19.8,16.7,8.3,-8.2,-29.9,-34.9,-9.5
1937,-42.2,-34.1,-26.5,-8,6.7,16.4,18.5,14,6,-7,-30.7,-39.1,-10.5
1938,-41.1,-37.2,-21.3,-4.1,7.2,16.4,19.2,14.2,8.5,-8.4,-21.5,-43.8,-9.3
1939,-46.3,-34.3,-20.7,-6.4,7.3,15.2,17,17,7.2,-8.1,-27.1,-35.1,-9.5
1940,-38.6,-34.7,-20.3,-6.3,4.8,16,19.5,12.8,4.3,-12.1,-34.7,-39.2,-10.7
1941,-44.1,-42.6,-26.4,-5.8,7.2,17,21,14.5,4.5,-9,-28.7,-45.8,-11.5
1942,-40.7,-37.8,-26.2,-8.1,5.5,14.4,19.9,13.8,6,-10,-26.6,-35.5,-10.4
1943,-41.5,-34.8,-15.5,-2.6,7.4,13.5,17.3,14.7,7.7,-3.9,-28.8,-41,-9
1944,-42,-34.7,-20.4,-7.7,7.2,14.8,18.5,16.4,7.1,-7.9,-29.6,-39.6,-9.8
1945,-45.9,-38.7,-21.1,-2.5,7,16.1,19.9,17.1,6.6,-5.9,-25.3,-43.6,-9.7
1946,-45.9,-42.3,-26.7,-5.3,3.6,14.3,20.3,14,3.6,-8.2,-28.7,-39.6,-11.7
1947,-44.1,-32.3,-22.3,-6,5,16.6,20.1,15,6.7,-2.5,-27.9,-42.9,-9.6
1948,-41.8,-38,-19.6,-5.6,6.6,16.1,20.5,17.5,6.5,-4.3,-23.9,-39.4,-8.8
1949,-40,-36,-24.2,-6.4,7.2,17.8,19.2,16,9,-6.7,-32.1,-43.9,-10
1950,-42.8,-36.3,-22.5,-6.1,5.9,15,17.2,13.2,4,-7.6,-32.4,-46,-11.5
1951,-44.9,-39.8,-24.3,-9.4,5.7,13.7,17.6,15.6,8.2,-4.1,-24.7,-33.3,-10
1952,-48.9,-40.9,-20.1,-7,4.5,14.2,21.7,16.5,6.5,-10.5,-37.5,-43.3,-12.1
1953,-41.2,-34.6,-20.6,-4.5,9.4,15.1,16.8,13.9,5.8,-7.7,-31.3,-38.6,-9.8
1954,-42.9,-33.1,-24.6,-6.1,3.5,16.6,20.7,16.5,4.7,-9.1,-32.1,-41,-10.6
1955,-40.1,-37.5,-26.7,-9.2,7.9,15.7,16.9,14.6,5.4,-6.7,-27.7,-44.5,-11
1956,-43.8,-37.8,-25.2,-10.5,3.2,16.3,19.5,14.5,6.7,-11.5,-26.5,-36.6,-11
1957,-36.9,-38.9,-22.7,-6.3,6.6,15.2,18.7,15.5,4.3,-9.8,-29.6,-38.1,-10.2
1958,-44.3,-36,-25.7,-7.7,5.4,12.4,17.7,14.9,6.7,-11,-29.6,-41.9,-11.6
1959,-45.1,-33.4,-16.3,-8.5,6.2,18.4,16,17.8,8.3,-7.7,-23.4,-38.2,-8.8
1960,-44.9,-36.1,-25.3,-9.7,7,16.5,18.7,13.7,5.9,-10.7,-29.9,-42.2,-11.4
1961,-46.7,-34.9,-23.1,-7.9,4.8,15.8,18.1,15.9,7.6,-7.9,-26,-34.3,-9.9
1962,-36.9,-31,-22.5,-7.3,5.9,14.2,18.9,16.1,4.8,-7.4,-29.5,-39.3,-9.5
1963,-32.7,-32.7,-20.5,-9.1,3.2,15,18.5,15.8,6.5,-7.4,-23.9,-36.7,-8.7
1964,-37.4,-36.5,-21.7,-9.2,4.4,14.4,18.9,13.8,3.8,-9.7,-30.1,-42.6,-11
1965,-43.8,-38.3,-23.7,-6.7,5.3,13.4,18.4,15,6.9,-8,-31.1,-46.3,-11.6
